ID,NAME,AGE,MATCH_NAME,RAW_AGE,MATCH_URL
13400/1,DATUK DR. SABIRIN BIN JA'AFAR,,datuk-dr.-sabirin-bin-ja'afar,,http://pru.sinarharian.com.my/calon/6217/sabirin-ja%60afar
13400/2,USTAZ NASIR OTHMAN,42,ustaz-nasir-othman,1976,http://pru.sinarharian.com.my/calon/6219/nasir-othman
13400/3,MAS ERMIEYATI,42,mas-ermieyati,1976,http://pru.sinarharian.com.my/calon/288/mas-ermieyati-samsudin
13500/1,NAZREE ARIS,,nazree-aris,,http://pru.sinarharian.com.my/calon/6069/mohammad-nazree-mohammad-aris
13500/2,MOHD REDZUAN YUSOF (PAK WAN ),61,mohd-redzuan-yusof-(pak-wan-),1957,http://pru.sinarharian.com.my/calon/6066/mohd-redzuan-yusof
13500/3,WONG NAI CHEE,49,wong-nai-chee,1969,http://pru.sinarharian.com.my/calon/1346/wong-nai-chee
13600/1,PROF. MADYA RUSNAH,,prof.-madya-rusnah,,http://pru.sinarharian.com.my/calon/3449/rusnah-aluai
13600/2,DATUK ZALI MAT YASIN.,,datuk-zali-mat-yasin.,,http://pru.sinarharian.com.my/calon/5352/zali-mat-yasin
13600/3,TUAN GURU UST ZULKIFLI ISMAIL,,tuan-guru-ust-zulkifli-ismail,,http://pru.sinarharian.com.my/calon/5387/zulkifli-ismail
13700/1,SHAMSUL ISKANDAR HAJI MOHD AKIN,44,shamsul-iskandar-haji-mohd-akin,1974,http://pru.sinarharian.com.my/calon/6151/shamsul-iskandar-mohd-akin
13700/2,TAN SRI HJ MOHD ALI BIN MOHD RUSTAM,69,tan-sri-hj-mohd-ali-bin-mohd-rustam,1949,http://pru.sinarharian.com.my/calon/858/mohd-ali-rustam
13700/3,DR KHALID KASSIM,,dr-khalid-kassim,,http://pru.sinarharian.com.my/calon/2820/md-khalid-kassim
13800/1,ERIC CHOO WEI SERN,31,eric-choo-wei-sern,1987,http://pru.sinarharian.com.my/calon/5915/choo-wei-sern
13800/2,KHOO POAY TIONG,48,khoo-poay-tiong,1970,http://pru.sinarharian.com.my/calon/3876/khoo-poay-tiong
13800/3,GOH LEONG SAN,,goh-leong-san,,http://pru.sinarharian.com.my/calon/3733/goh-leong-san
13900/1,KHAIRUDDIN ABU HASSAN,,khairuddin-abu-hassan,,http://pru.sinarharian.com.my/calon/6309/khairuddin-abu-hassan
13900/2,ABD. ALIM SHAPIE,60,abd.-alim-shapie,1958,http://pru.sinarharian.com.my/calon/6312/abd-alim-shapie
13900/3,DATUK SERI HAJI AHMAD HAMZAH,70,datuk-seri-haji-ahmad-hamzah,1948,http://pru.sinarharian.com.my/calon/561/ahmad-hamzah
