Bil,KODDM,NAMADM,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MARK MURAU ANAK SUMON,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :MARTIN BEN,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :ANDREW NYABE,Bilangan Undian Oleh Pemilih Bagi Setiap Orang Calon Yang Bertanding (B) :Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
1,,UNDI POS,UNDI POS,1,79,0,58,5,63,1,15
2,199/22/00,UNDI AWAL,"RUANG A, DEWAN SRI PENGAMAN, IPD SERIAN",1,3,0,3,0,3,0,0
3,199/22/01,SIBAUH,SEK. KEB. ST. ANTHONY KAWAN,1,288,6,244,32,282,6,0
3,199/22/01,SIBAUH,SEK.TADIKA KEMAS KPG. MAYANG MAWANG,1,205,1,194,2,197,8,0
3,199/22/01,SIBAUH,BALAI RAYA ENGKEROH,1,322,11,219,85,315,7,0
3,199/22/01,SIBAUH,BALAI RAYA KPG. BUGU,1,215,1,175,38,214,1,0
3,199/22/01,SIBAUH,BALAI RAYA KPG. PRANGKAN MARUNG,1,146,2,107,37,146,0,0
3,199/22/01,SIBAUH,SEK. KEB. SG. RIMU,1,255,4,188,62,254,1,0
3,199/22/01,SIBAUH,SEK. KEB. ST. JOHN MENTONG,1,300,4,187,104,295,4,1
3,199/22/01,SIBAUH,SEK. KEB. MUBUK BIRAWAN,1,238,11,195,29,235,3,0
3,199/22/01,SIBAUH,SEK. KEB. PRIDAN,1,364,10,301,48,359,5,0
3,199/22/01,SIBAUH,BALAI RAYA KPG. SANGGAI MAWANG,1,338,8,198,126,332,6,0
4,199/22/02,MONGKOS,SEK. KEB. MENTU TAPU,1,410,7,275,125,407,3,0
4,199/22/02,MONGKOS,SEK. KEB. ST. MICHAEL MONGKOS,1,405,3,303,92,398,7,0
4,199/22/02,MONGKOS,SEK. KEB. ST. RAYMOND MUJAT,1,276,1,196,77,274,2,0
4,199/22/02,MONGKOS,SEK. KEB. ST. RAYMOND MUJAT,2,525,6,374,140,520,5,0
4,199/22/02,MONGKOS,SEK. TADIKA KPG. NIBONG,1,199,2,150,47,199,0,0
4,199/22/02,MONGKOS,SEK. KEB. ST. NOBERT PAON GAHAT,1,228,7,179,41,227,1,0
5,199/22/03,KEDUP,SEK. KEB. MAPU,1,413,5,291,114,410,3,0
5,199/22/03,KEDUP,BALAI RAYA KPG. TERBAT LEBAN,1,245,1,207,35,243,2,0
5,199/22/03,KEDUP,BALAI RAYA BABUK BAREM KPG. BUNAN GEGA,1,314,3,179,125,307,6,1
5,199/22/03,KEDUP,BALAI RAYA BABUK BAREM KPG. BUNAN GEGA,2,468,0,282,184,466,2,0
6,199/22/04,ANTAYAN,SEK. KEB. KRANGAN,1,227,16,158,50,224,3,0
6,199/22/04,ANTAYAN,SEK. KEB. MERBAU,1,279,14,168,93,275,4,0
6,199/22/04,ANTAYAN,BALAI RAYA KPG. SG. BURU,1,95,0,85,8,93,2,0
6,199/22/04,ANTAYAN,SEK. KEB. KRAIT,1,184,9,137,32,178,6,0
6,199/22/04,ANTAYAN,SEK. KEB. TAMPEK KPG. SUMPAS,1,107,3,94,6,103,4,0
6,199/22/04,ANTAYAN,SEK. JENIS KEB. SG. MENYAN (CINA),1,335,7,188,134,329,6,0
6,199/22/04,ANTAYAN,SEK. KEB. ANTAYAN,1,225,15,188,17,220,5,0
6,199/22/04,ANTAYAN,SEK. KEB. SEMUKOI,1,312,11,246,53,310,2,0
JUMLAH,,,,30,8000,168,5769,1941,7878,105,17
